Date,Open,High,Low,Close,Volume
2020-06-24,170.52,173.58,169.3,171.5,14660407
2020-06-29,170.5,172.5,169.01,171.04,11604049
2020-06-30,173,179.47,173,174.36,16251433
2020-07-01,178.5,181.9,167.88,169.4,28657478
2020-07-02,172,172.18,164.51,167.2,27047963
2020-07-03,170,170.74,167.03,167.6,24026447
2020-07-06,168.2,180,167.59,177.8,30715268
2020-07-07,188,195.58,187.5,195.58,25360423
2020-07-08,197.99,198.82,189.98,197.57,28889036
2020-07-09,197,206.77,196,205.02,27903552
2020-07-10,202.98,207.16,200.6,203.9,16829333
2020-07-13,211.6,224.29,211.6,224.11,30326879
2020-07-14,214,220.7,208.86,215.95,33329626
2020-07-15,219,220.57,202.11,207.03,27435061
2020-07-16,208,212.88,196.4,196.77,27254968
2020-07-17,197.01,201.18,188.08,195.7,30378591
2020-07-20,204.09,211.11,199.09,205.3,28999908
2020-07-21,209.99,209.99,203,207,18656592
2020-07-22,205,211.19,203.03,207.89,19165779
2020-07-23,207,215.51,206,213.5,25589954
2020-07-24,209,209.9,195.85,198.68,34398314
2020-07-27,198,200.98,189.99,191.3,25155581
2020-07-28,196.05,200.5,195.51,197.52,20148990
2020-07-29,197.52,205,195.27,204.18,18998583
2020-07-30,205,206.98,202.4,205.35,14353072
2020-07-31,206,215.3,205.5,212.17,20704980
2020-08-03,213.88,215.8,210.05,215.6,15106133
2020-08-04,214.3,222.98,210.32,210.69,19958062
2020-08-05,210.74,212.8,206.55,210.35,12730060
2020-08-06,216.88,217.88,208,211.5,14565688
2020-08-07,209,214.3,202.11,204.29,18055246
2020-08-10,204.2,205.3,198.08,200.68,13078744
2020-08-11,200.75,204.6,198.13,198.42,12233213
2020-08-12,199.9,200.26,188.2,195.73,25272741
2020-08-13,200.8,201.98,194.47,195.99,13061210
2020-08-14,197.7,200.45,195.99,200.37,11970002
2020-08-17,200,200.37,194.2,196.62,19707410
2020-08-18,199.6,205,195.88,199.28,22122398
2020-08-19,197.8,197.8,190,190.19,18714680
2020-08-20,187,191,185,188.42,13020138
2020-08-21,191.36,193.94,190,192.23,14655272
2020-08-24,194.2,208,192.24,202.01,25806984
2020-08-25,202.01,206,198.96,199.92,14549072
2020-08-26,199.01,199.98,192.94,194.4,15240258
2020-08-27,202.5,208.5,199,204.95,28397772
2020-08-28,206.32,209.5,203.68,208.3,16967122
2020-08-31,209.66,210.76,205.01,206.35,13514481
2020-09-01,206.5,215,205.01,214.25,19716189
2020-09-02,213.36,214.13,208,211.31,14608611
2020-09-03,210,211,205.89,209.9,12452889
2020-09-04,202.22,205.66,200.58,204.26,14773663
2020-09-07,202.9,204.85,180,186.4,44789699
2020-09-08,185,188,179.51,186.9,22073272
2020-09-09,179,187.5,177.99,184.32,18934368
2020-09-10,185,189.5,184.5,184.96,14826421
2020-09-11,186,189.3,183.35,187.3,11765001
2020-09-14,190.5,194.98,190,192.78,14289637
2020-09-15,195.5,197,192.82,194.7,11703665
2020-09-16,196.79,196.9,190.5,192.26,11837864
2020-09-17,192.24,201.95,191,198.4,18130771
2020-09-18,198.91,200,195.23,198.03,10548691
2020-09-21,201.9,208,196.86,197.93,16068319
2020-09-22,200,204.2,197.93,200.5,12339378
2020-09-23,199.6,199.82,191.1,197,15719429
2020-09-24,193.65,195.8,190.11,190.82,10668028
2020-09-25,193.6,194.7,190.59,191.5,6801208
2020-09-28,193.45,196.95,191.81,192.91,8233195
2020-09-29,195.49,206.25,195.43,204.99,20243551
2020-09-30,205.3,211.01,203.8,209.2,15990837
2020-10-09,219.99,228.88,219.77,224.87,23959241
2020-10-12,228,235,227.3,234.78,18938222
2020-10-13,234.88,238.58,229,235.67,10746666
2020-10-14,237,244,234.8,237.3,13770183
2020-10-15,241.11,244.1,237,238.6,9953526
2020-10-16,239.5,240,224.31,228.1,20304062
2020-10-19,231.33,236.1,228,229.41,13002499
2020-10-20,230.63,241.6,228.94,241.6,13596634
2020-10-21,240.06,240.63,227.68,232.33,16167925
2020-10-22,230.2,233.8,227,231.88,9055157
2020-10-23,232.51,238.76,224.45,225,11593811
2020-10-26,225.97,233.63,219.33,233.15,10802773
2020-10-27,235,238.7,232,237.21,9101539
2020-10-28,227.65,245.47,226.66,240.26,22415826
2020-10-29,237.02,244.02,232.32,240,17435230
2020-10-30,241.02,256.6,238.3,247.17,22958747
2020-11-02,247,265.5,244.51,260.14,18946131
2020-11-03,260,260,247.18,256.02,18456665
2020-11-04,255,260,250,255.55,11061672
2020-11-05,261,268.5,260.96,268.5,15795924
2020-11-06,271.38,275.23,260,263.5,15658385
2020-11-09,268,272.9,261.1,266.43,13228570
2020-11-10,265.32,271.88,255.55,265.92,14417544
2020-11-11,264.11,267.48,250.84,250.84,15758398
2020-11-12,260,260,252.58,254.25,9716864
2020-11-13,258.12,260.77,253,253.21,11377678
2020-11-16,253.89,257.7,247.43,254.9,12312065
2020-11-17,257.3,260,246.5,250.68,13674853
2020-11-18,250.12,252.06,236.82,240.5,19283321
2020-11-19,241.01,243.55,237.11,242.1,9758010
2020-11-20,244.49,253.6,244.48,252.08,12303462
2020-11-23,252.08,259.7,250.1,253,12091293
2020-11-24,258,259.1,250.01,254.7,9791966
2020-11-25,256.6,256.88,244.4,246.22,11709894
2020-11-26,246.6,246.6,239.2,245.34,8629485
2020-11-27,245.42,248.77,238,242,8433221
2020-11-30,244,244,234.02,242.8,12666236
2020-12-01,238.8,246.65,238,246.17,9491971
2020-12-02,246,246,236.6,243.69,11965310
2020-12-03,243.69,246.97,238.37,245.99,10688561
2020-12-04,245.06,251.3,244.35,249.72,9233784
2020-12-07,250.9,264.83,250.9,261.46,17112954
2020-12-08,265.5,269.89,264.5,266.03,11636158
2020-12-09,268.73,272.6,262.08,266,15363649
2020-12-10,263.15,267.5,259,264.82,9985664
2020-12-11,263.31,267.52,261.7,266.56,12893673
2020-12-14,266.57,268.73,262.1,266,10724116
2020-12-15,268,279.37,264.45,278.5,17781261
2020-12-16,280.2,286.3,277,286.06,14288803
2020-12-17,284.2,287.8,282.01,284.81,8812326
2020-12-18,285.5,292.95,283.22,289.99,9512618
2020-12-21,296.75,325,293.3,325,19810397
2020-12-22,319.99,330.33,311.7,313.64,16874400
2020-12-23,313.67,329.3,307.18,318,17390320
2020-12-24,317,318.66,308.5,311,9478596
2020-12-25,309,315.2,306.01,312.79,9539934
2020-12-28,315.2,320,311,316.78,11973062
2020-12-29,316.79,318.8,303.38,308,12174791
2020-12-30,320,347.94,320,340,22881682
2020-12-31,344.98,353.9,341.71,351.11,15200521
2021-01-04,358.1,411.11,358.1,404.1,22480807
