Date,Open,High,Low,Close,Volume
2020-06-24,303.01,307.79,295.13,299.19,6421208
2020-06-29,301.05,303.98,299.19,301.85,4308668
2020-06-30,303.62,309.94,302.52,305.7,4121335
2020-07-01,307,309.55,295.12,298.5,6255393
2020-07-02,295.1,298.87,287.95,290.58,8497713
2020-07-03,290.14,298.5,286,296.69,7061834
2020-07-06,296.43,296.43,289.2,291.37,10423984
2020-07-07,291.05,307.71,286.88,299.64,10601238
2020-07-08,303.54,307.07,299.65,301.22,6854313
2020-07-09,302,322,301.45,319.96,10909177
2020-07-10,319.96,324.98,316.06,318.67,5786772
2020-07-13,318.5,331.5,317.4,329.5,7196137
2020-07-14,328.98,334.9,320,326.41,5636547
2020-07-15,337.5,358.98,337.5,346.99,11860542
2020-07-16,351.96,351.96,327.01,330.7,8793394
2020-07-17,336,350.98,334,340.9,7748017
2020-07-20,343.95,349.86,330.01,338,6128635
2020-07-21,339,350.81,333,344.75,6136924
2020-07-22,344.75,355,342.71,348.3,5809012
2020-07-23,345.1,352.7,342,352.6,6007704
2020-07-24,349,350,328.51,332.39,7684418
2020-07-27,335.8,342.36,330.5,334,5214591
2020-07-28,339,339.99,330.48,339.99,3987251
2020-07-29,338,344.63,336.02,342.98,4290447
2020-07-30,343.8,346.95,337.01,338.15,4356356
2020-07-31,338.15,348.5,337.5,346.99,5860785
2020-08-03,346.99,347.98,342,344.96,5297224
2020-08-04,344.4,349,340,341.51,4404774
2020-08-05,339.91,345.37,338,344.32,3430015
2020-08-06,344.67,345.83,333.35,335,4962063
2020-08-07,334,337.8,320,327.37,5214976
2020-08-10,325,326.95,318.02,323.48,4792353
2020-08-11,325,329.85,316.5,316.5,4114208
2020-08-12,317.49,320,306.77,312.5,5251584
2020-08-13,316,316.58,312,313,3173930
2020-08-14,315.16,318.5,310.5,315.72,3063328
2020-08-17,315,316.68,306.9,314,4407451
2020-08-18,314,323.49,313,319,3874691
2020-08-19,318.5,318.8,309,309,3419135
2020-08-20,309,314.5,305.11,310.39,3086579
2020-08-21,314.01,321.77,311.23,317.72,4433972
2020-08-24,320.75,324.15,314.64,317.78,4478330
2020-08-25,317.77,325.32,315.19,322.1,4769740
2020-08-26,322.1,329,317,317.09,4523948
2020-08-27,317.28,328.5,317.28,327.3,3689098
2020-08-28,329.95,342,329.82,339.32,6748627
2020-08-31,343,349.5,337.3,342.45,4266210
2020-09-01,342,347.14,339.5,346.85,3618662
2020-09-02,350,350.5,341.86,347.3,3552521
2020-09-03,346.99,355,343,343.88,4354561
2020-09-04,343,345,331.78,336,4608305
2020-09-07,336.18,340.12,323.1,325.01,3987309
2020-09-08,325.04,332.28,322,328.9,3875931
2020-09-09,325.64,327.49,311.31,312.12,5844338
2020-09-10,315,327.56,314.63,318.11,4577556
2020-09-11,320,330.57,318.53,328.89,3401487
2020-09-14,334.6,341.9,330.6,336.83,5114929
2020-09-15,337.02,339.99,334.44,338.11,2868084
2020-09-16,340.19,340.99,326,328.11,3321843
2020-09-17,329.2,329.2,314.43,317.55,4939924
2020-09-18,320.51,323.98,314.8,323.85,3142034
2020-09-21,323.87,326,315.98,319.55,3190330
2020-09-22,321.9,340.88,319.03,337,6984017
2020-09-23,335,338.99,332.67,336.66,3061547
2020-09-24,333.9,334.96,330,330.91,3088763
2020-09-25,332.85,335.6,327.74,330,2198677
2020-09-28,330,334.6,327.41,330.49,2737742
2020-09-29,334,341,330.85,339.33,3954078
2020-09-30,339.34,352.66,339.31,348,4265405
2020-10-09,354.9,363.12,354.03,358.1,3928723
2020-10-12,361,376.8,361,376.6,5629997
2020-10-13,376.98,383.95,372.2,377.5,2782060
2020-10-14,373.74,382,372.88,382,3089847
2020-10-15,372,375.2,361.56,371.66,6111601
2020-10-16,371.5,380.6,371.21,375.5,3115480
2020-10-19,379.64,380,365.2,367.51,3734121
2020-10-20,371.5,374.5,367.57,372,2323778
2020-10-21,376,377,364.13,366.55,2570506
2020-10-22,366.06,369,360,365.62,2530373
2020-10-23,363.6,364.89,354,355,2996795
2020-10-26,352.01,363,349.02,363,2970680
2020-10-27,363,366.56,356.3,362.72,3096434
2020-10-28,365.49,377.8,362.01,374,4999459
2020-10-29,375,400,374.09,395,6458247
2020-10-30,390.4,395.49,384.15,386.8,4354441
2020-11-02,390.01,395.49,385.6,393.21,3626223
2020-11-03,392,409.29,391,405.31,4443168
2020-11-04,403.8,409.01,397.25,406.01,3597822
2020-11-05,408.23,408.31,383.38,390.82,7381527
2020-11-06,390,391,366,374.35,9046699
2020-11-09,377.02,383,370,379.99,5786528
2020-11-10,367.8,367.8,354.5,354.99,10631588
2020-11-11,357.4,358.5,347.76,349.2,6263994
2020-11-12,351.02,353.44,341.88,343.89,6527697
2020-11-13,343.4,346.3,340.29,343.85,5471938
2020-11-16,345,353.85,340,351.34,7342142
2020-11-17,351,351.19,334.11,339.31,6486120
2020-11-18,339.6,344.97,330.29,334.8,6785883
2020-11-19,337.7,345.7,331.88,343.83,5619870
2020-11-20,344.17,353,344.17,346.51,4109665
2020-11-23,347.8,353,342.6,348.5,3738806
2020-11-24,348,348.3,337.5,343.6,3708766
2020-11-25,340,340.54,324.02,324.02,8846450
2020-11-26,327,335,326.6,333.78,5212256
2020-11-27,338,344.53,335.5,338.61,3603107
2020-11-30,338.26,345.88,334,337.35,4783337
2020-12-01,339.7,342.71,335.9,341.1,6413100
2020-12-02,341.1,341.98,333.8,338,3746211
2020-12-03,338.9,346.01,336.65,344.99,5909160
2020-12-04,342,351.5,342,350,5031707
2020-12-07,348.8,348.92,337.8,345.62,4857058
