Date,Open,High,Low,Close,Volume
2020-06-24,201,208.45,200.88,206.68,7226776
2020-06-29,204.79,205.5,197.96,199.83,6214849
2020-06-30,202,204.58,199.84,201.95,4345108
2020-07-01,203,212.5,202.69,207.68,6199410
2020-07-02,208.74,216.66,206.01,214.73,7331797
2020-07-03,214.06,215.69,201.1,208.39,7244517
2020-07-06,209.95,229,209.95,228.8,9434834
2020-07-07,230.11,244.82,229.43,229.93,8803093
2020-07-08,228.8,235,223.51,231.51,6305605
2020-07-09,232.2,242.13,232.2,240.84,5741245
2020-07-10,238,245.8,235.75,244,5498866
2020-07-13,245.33,248,239.18,245.51,5651569
2020-07-14,241.82,252.8,238.66,249.7,8182655
2020-07-15,252,252,226,230.58,9192694
2020-07-16,227,232.3,208,208.16,7707629
2020-07-17,211.62,226.04,209,218.43,8260788
2020-07-20,225.7,225.99,206.49,217.69,6578023
2020-07-21,217.07,222,213.06,215.69,5896977
2020-07-22,215.9,223.6,211.01,220.1,5396218
2020-07-23,216.76,220.58,209.77,214,5078837
2020-07-24,212,214.5,196.5,199.35,6815543
2020-07-27,204.53,206.33,194.35,197,5479968
2020-07-28,201.49,201.7,196.66,199.84,3904884
2020-07-29,198.54,208.88,197.67,207.17,5786101
2020-07-30,207.99,210.33,202.01,203.4,4427451
2020-07-31,205,208.98,200.17,205.64,5400536
2020-08-03,206.99,207.86,193.01,201.42,10477907
2020-08-04,200,203.99,196.31,197.67,5694817
2020-08-05,206,207.37,200.3,201.97,8280457
2020-08-06,201,201,195,197.18,6438619
2020-08-07,195.81,198.49,184.37,188.78,6673959
2020-08-10,188.79,192.9,183.33,191.51,5083995
2020-08-11,192,192.94,187,187,3620735
2020-08-12,188,189.67,181.25,187.05,3945930
2020-08-13,187.97,188.88,182.8,182.97,3233137
2020-08-14,183.44,186.5,182.11,186.28,2891805
2020-08-17,187.36,187.99,181.09,183.71,5916046
2020-08-18,183.71,183.8,177.01,182.66,7656268
2020-08-19,182.66,194.8,181.8,187.3,9552147
2020-08-20,185,185.08,178.26,183,6799272
2020-08-21,190.13,192,183.1,188.01,9334173
2020-08-24,185.25,190.51,177.3,188.65,8084716
2020-08-25,185.88,185.88,180,180.17,7475686
2020-08-26,178.43,178.5,169.58,169.6,7331110
2020-08-27,167.08,174.65,165.08,171.93,5771165
2020-08-28,171.5,176.89,170.08,175.31,4570584
2020-08-31,175,175,167.6,167.83,10994122
2020-09-01,167.88,170.3,167.61,168.7,7474188
2020-09-02,168,171.19,167.67,170.4,5839638
2020-09-03,169.5,187.31,167.6,186.12,15273855
2020-09-04,183,190.5,181.88,187.1,15006681
2020-09-07,190,191,178.8,182,12438305
2020-09-08,180.8,185.88,177.01,177.05,8355334
2020-09-09,171.11,176.99,166.93,171.31,7730486
2020-09-10,174,179.43,172,174.11,7547640
2020-09-11,174.24,190.16,174.24,187.72,14275128
2020-09-14,190.18,198.9,190.18,191,15199091
2020-09-15,184,192.69,182,188.54,12479249
2020-09-16,188.58,196.85,187.38,195.88,11958408
2020-09-17,195.88,196.3,190.06,193.01,10576005
2020-09-18,194.11,197.85,188.79,191.8,11320490
2020-09-21,191.5,193.49,185.89,185.95,9124997
2020-09-22,184.22,189.4,183.55,185.58,8259206
2020-09-23,186,186.9,181.8,184.7,7657710
2020-09-24,185.57,186.38,182.55,182.8,6729762
2020-09-25,182.7,183.35,173.98,174.91,10230276
2020-09-28,174,177.98,172.76,175.2,5266069
2020-09-29,177.55,179.3,174.8,174.96,5020925
2020-09-30,176.99,180.5,175.2,177.37,6979638
2020-10-09,182,185.95,182,182.4,7954317
2020-10-12,183.97,191.49,183.55,191.43,14498776
2020-10-13,191.5,193.88,189,192.16,9166901
2020-10-14,192.34,193.3,183.76,186.7,8427497
2020-10-15,188,190.98,185.23,185.3,6573692
2020-10-16,187.5,192,183.01,184.5,7531966
2020-10-19,186.29,186.9,179.35,179.98,6007193
2020-10-20,178.81,181.6,176,180.9,5313853
2020-10-21,182,182,176.95,178.72,5108518
2020-10-22,177,181.49,176.58,177.69,5073860
2020-10-23,177.5,179.9,169.93,172.3,4859843
2020-10-26,168.72,175.35,166.75,173.12,5012501
2020-10-27,171,181.35,171,181.3,6440868
2020-10-28,180.9,183.25,178,180.16,5977489
2020-10-29,179.52,187.48,179,184.3,10537241
2020-10-30,185,201.73,184.99,198.02,23668577
2020-11-02,205,217.82,200.01,217.82,18612387
2020-11-03,226.84,226.84,212.92,215.59,16480947
2020-11-04,216.88,218.43,206.96,211,14067168
2020-11-05,218.2,219.08,209.89,214,12355005
2020-11-06,213.8,220.99,209.03,219.31,17191989
2020-11-09,223,241.24,223,239.45,21034169
2020-11-10,232,233.88,223.91,224.91,13750419
2020-11-11,216,219.51,202.42,202.42,18005444
2020-11-12,204.38,208.68,200.58,204.17,9964256
2020-11-13,203.87,208,198.3,201.79,9202956
2020-11-16,204,204,194.11,199.8,9971274
2020-11-17,199.81,202.84,190.01,202.7,12380112
2020-11-18,199,207.58,196.01,202.54,9491162
2020-11-19,199.33,206.95,198.01,205.2,6447556
2020-11-20,204.25,206.8,201,202.35,5062118
2020-11-23,196.28,202.03,191.3,200.5,9906551
2020-11-24,199.03,208.56,198.5,205.2,7407710
2020-11-25,208,213.88,206,209.9,8990413
2020-11-26,209.8,209.85,202.28,202.77,6230735
2020-11-27,203.38,207.8,201.02,205.8,4390158
2020-11-30,207,215.44,203.21,215.44,10418104
2020-12-01,210,216.94,209.48,216.88,6743329
2020-12-02,216.3,222.65,216.09,218.77,8449214
2020-12-03,220.97,222,216.36,217.09,5260846
2020-12-04,216,219.5,213.8,217.64,4895877
2020-12-07,221,225.65,215.83,216.86,6068861
2020-12-08,216,220.96,215.01,218,5751273
2020-12-09,215,221.5,212.96,217.13,7448758
2020-12-10,217.15,237.3,215,232.41,14224180
2020-12-11,232.99,238,228.61,232.75,14374621
2020-12-14,234.99,238.3,226.99,235.8,9148258
2020-12-15,235.8,243.88,225.38,228.5,9399091
2020-12-16,228,230.5,221.77,228.2,6324718
2020-12-17,229.46,231.66,226.22,228.9,3884390
2020-12-18,232.99,236.32,230.02,233,5653690
2020-12-21,230.69,233,220.1,227.12,9729882
2020-12-22,224.5,224.97,210.48,212.76,11279745
2020-12-23,212.76,222.3,210.3,218.95,7839615
2020-12-24,221,230.16,221,230.02,6697766
2020-12-25,227.89,231.2,218.7,220,5511629
2020-12-28,220,226.91,217.6,223.89,5381370
2020-12-29,225,228.56,220.5,221.7,4647285
2020-12-30,220,227.74,219.02,227.38,5093389
2020-12-31,228.9,235,225.77,231.1,7824929
2021-01-04,232,232.84,225.01,230.05,8717340
2021-01-05,229.99,253.06,228.9,253.06,15532187
2021-01-06,265,268.85,257.01,264,17278593
2021-01-07,265.97,273.01,259.6,269.36,14019049
2021-01-08,270.88,273.53,257.1,266,8708435
2021-01-11,278.5,291.8,272,276.24,14912017
2021-01-12,272.12,289.19,272.12,289.19,11744029
2021-01-13,293.52,293.6,278.16,286.47,11153060
2021-01-14,291,300.8,280.32,281.71,16005889
2021-01-15,290,301.8,276.87,286,15661948
2021-01-18,296,314.6,293,314.6,16540922
2021-01-19,313.99,324.5,308.84,314.89,16779012
2021-01-20,317,321.99,309,321,10265404
2021-01-21,316.18,322,309.78,319.6,9905954
2021-01-22,320,328,308,322.5,10002138
2021-01-25,314.84,326.88,310.1,322,11067820
2021-01-26,315,316,294.5,301.14,14956654
2021-01-27,308,312.8,301.77,310.16,10720151
2021-01-28,307,307.02,290,290.1,11231360
2021-01-29,299,300.49,283.17,289.57,8270918
2021-02-01,294.6,296,284.3,287.54,6196484
2021-02-02,292,302,286.15,298.98,8518668
2021-02-03,300,300.9,291.78,292,6537889
2021-02-04,288.2,292,272,283.75,13498958
2021-02-05,283.7,290.88,282.28,285.1,6562562
2021-02-08,287.3,305.53,285.62,302.9,8108982
2021-02-09,305.1,308,294.6,299.4,8746124
2021-02-10,299.42,312,293,302.97,8155988
2021-02-18,312,324,302.97,307.34,10888344
2021-02-19,307.5,309,290.01,304.28,8068185
2021-02-22,305,305.5,287.31,287.31,9307624
2021-02-23,278,300,277,294,6918414
2021-02-24,294,303.8,285.5,290,7055065
2021-02-25,290.5,299.5,285.02,285.5,5679424
2021-02-26,279,292,274,282.98,6897825
2021-03-01,286.98,292,284,290.47,4727969
2021-03-02,297,301.5,290,295,6523083
2021-03-03,293.91,297.15,285.08,297.02,5038255
2021-03-04,292,295.88,272.29,275.98,9148508
2021-03-05,267.03,275.3,257.28,264.9,9867195
2021-03-08,268,275.5,256,257.8,8430030
2021-03-09,257.99,260.01,245.3,247.98,7205579
2021-03-10,257.08,261,251.07,251.39,7042077
2021-03-11,252.45,270,252.45,260.13,7667108
2021-03-12,263.06,263.17,253.82,258.52,4473543
2021-03-15,255.97,255.97,239.92,243.1,8254649
2021-03-16,243.88,250.71,243.2,248.06,6143435
2021-03-17,251.85,263.39,247,258.2,5498704
2021-03-18,258.88,263.32,255.97,258.61,4143089
2021-03-19,257.5,263.2,254.54,258.43,4666637
2021-03-22,258,258,246.31,255.55,5260015
2021-03-23,259.4,259.68,249.49,253.56,3122977
2021-03-24,251.85,253,245.7,245.7,3245803
2021-03-25,244,257,238.08,254.07,4978314
2021-03-26,257.23,260.98,254,257.91,3966414
2021-03-29,260.72,268.05,260.52,262.8,4594122
2021-03-30,262.11,267.4,258.9,259.17,4901950
2021-03-31,262.01,262.6,254.81,256.72,2903498
2021-04-01,259,277.48,256.36,273.3,7229113
2021-04-02,279.34,292.05,279.34,286.91,7602649
2021-04-06,291,291.66,280.6,286.1,4311575
2021-04-07,294,299.97,285.18,294.2,7933994
2021-04-08,290,305.88,287.33,297.47,6220869
2021-04-09,297.42,299.8,291.49,293.12,3802050
2021-04-12,294,302.03,286.51,289.74,5238114
2021-04-13,289.68,293,283.42,287.7,5129266
2021-04-14,283,286.7,275.1,282.85,5147825
2021-04-15,282.9,283.14,269.44,275.74,5441139
2021-04-16,281,284,276.41,279.79,4326278
2021-04-19,283,295,280,293.25,7523754
2021-04-20,292.11,298.85,290.56,292.01,4117062
2021-04-21,290.01,294.1,288.88,291.8,3338151
2021-04-22,292.9,296.49,287.02,295.2,4083341
2021-04-23,297.5,306.98,294.53,298.5,6436029
2021-04-26,302,306.66,291.26,291.26,4729786
2021-04-27,295.12,297.28,287.92,293.78,3930230
2021-04-28,296.87,301.5,292.24,298.96,3971368
2021-04-29,301,310.9,298.15,304.92,5411808
2021-04-30,303,308.88,299.08,302.51,4321491
2021-05-06,295,301.98,290.27,293.15,5021591
2021-05-07,293,296,264,264.26,10754608
2021-05-10,261.81,270,261,266.72,5478986
2021-05-11,259.6,271.38,250.72,270.95,8650562
2021-05-12,268,268.83,255.4,266.82,7646232
2021-05-13,259.01,266.76,258.66,264.8,4354307
2021-05-14,267,272.9,259.8,272,5152531
