Date,Open,High,Low,Close,Volume
2020-06-24,1463.6,1465.71,1445,1460.01,2513899
2020-06-29,1448,1466,1437.01,1463.17,2808061
2020-06-30,1463.12,1468.98,1455.12,1462.88,2244614
2020-07-01,1468,1506.1,1464.02,1494.27,3868249
2020-07-02,1499,1550.9,1495,1544,4588372
2020-07-03,1550,1552.5,1516.88,1541.79,3512581
2020-07-06,1538,1616,1531.81,1600,5182196
2020-07-07,1603.09,1744.82,1601,1688,6666393
2020-07-08,1680,1719,1660,1681.34,5316998
2020-07-09,1691,1712,1682,1706,3503324
2020-07-10,1689,1736.6,1688.94,1713.85,3710044
2020-07-13,1714.68,1787,1714.68,1781.99,6072716
2020-07-14,1781.99,1782.03,1748.4,1762,4609351
2020-07-15,1744.88,1782.6,1744.71,1752.53,4071294
2020-07-16,1729.91,1729.91,1600,1614,10224219
2020-07-17,1620,1672.59,1620,1648.05,6590206
2020-07-20,1652.5,1663.99,1588.88,1636.96,4528033
2020-07-21,1646.64,1702.8,1630.99,1668,4196950
2020-07-22,1658,1710,1658,1678.08,3920121
2020-07-23,1672,1691,1650,1676,3432052
2020-07-24,1654.85,1666,1585,1595.3,7875201
2020-07-27,1616.01,1629.8,1600,1622.55,3878817
2020-07-28,1630,1680,1630,1670,5491152
2020-07-29,1690,1690,1633,1672,5074843
2020-07-30,1671.2,1700.59,1670.5,1680,3837304
2020-07-31,1685,1705,1646,1678.18,4068474
2020-08-03,1686.88,1696.58,1660,1668,3466114
2020-08-04,1675,1682.99,1660,1669.99,3194051
2020-08-05,1662.09,1673.09,1643.31,1668,2552169
2020-08-06,1670,1674.03,1630,1637.96,3264878
2020-08-07,1644.77,1649.67,1598.5,1631,3424205
2020-08-10,1627.97,1644.96,1608.11,1633.99,2362354
2020-08-11,1640,1666.43,1640,1642.51,3581818
2020-08-12,1633,1641,1605.25,1626.95,2793392
2020-08-13,1630,1638.88,1609,1635,2054134
2020-08-14,1639.9,1665.7,1631,1661,3765318
2020-08-17,1674,1704.35,1670,1690,4357201
2020-08-18,1697.38,1720,1691,1705,3042281
2020-08-19,1700,1717,1682.99,1687,2691498
2020-08-20,1674,1679,1656,1664,2238233
2020-08-21,1673,1698,1671,1676,2508241
2020-08-24,1700,1708,1691.01,1696.35,3093344
2020-08-25,1704.8,1746.78,1698.63,1727,4187249
2020-08-26,1734,1745,1715.02,1727,2621573
2020-08-27,1731.99,1733.98,1705,1731,2263553
2020-08-28,1731,1764,1721.5,1757,4229962
2020-08-31,1770.58,1816,1770.58,1786.5,4781036
2020-09-01,1792,1802,1775.01,1801.98,3163992
2020-09-02,1825,1828,1770,1795,3200929
2020-09-03,1795,1812,1779.7,1793,3043735
2020-09-04,1766,1776.99,1746,1770,3085796
2020-09-07,1760,1777.99,1703.97,1723.5,3111202
2020-09-08,1732,1737.8,1677.07,1711.4,3447238
2020-09-09,1699.67,1711,1680.04,1688,2596355
2020-09-10,1703.74,1720,1700,1705.8,2477833
2020-09-11,1688,1736,1688,1733,3108800
2020-09-14,1745,1769,1730.58,1766,3105601
2020-09-15,1769.99,1769.99,1747.75,1760,2082087
2020-09-16,1760,1764.81,1719,1725.1,2251598
2020-09-17,1700,1700,1658,1670.52,6367985
2020-09-18,1665,1695,1635.01,1695,4720140
2020-09-21,1692.76,1692.76,1666.66,1666.8,2244407
2020-09-22,1650,1686.98,1650,1665.69,2326547
2020-09-23,1635,1666.01,1621.02,1649.98,3572552
2020-09-24,1635.97,1658.88,1626.8,1629.32,3005078
2020-09-25,1630,1650,1625,1635.11,2258296
2020-09-28,1635.19,1668.5,1635.19,1661,2423222
2020-09-29,1669.33,1669.4,1652.3,1652.3,1743078
2020-09-30,1660,1691.9,1660,1668.5,2708781
2020-10-09,1692,1706.42,1688,1696,3423988
2020-10-12,1700,1750.61,1700,1750.61,4372904
2020-10-13,1750.62,1750.62,1735,1739,2294389
2020-10-14,1740,1746.98,1726,1729,2048139
2020-10-15,1721.13,1735,1721,1725,1620436
2020-10-16,1725,1734.58,1703,1712,1737738
2020-10-19,1725,1733.98,1691.9,1699,1922632
2020-10-20,1699.99,1734.97,1695,1734,2773493
2020-10-21,1734.1,1742.15,1723,1733.33,1890137
2020-10-22,1730,1745,1715.51,1742.5,2248087
2020-10-23,1740.78,1747.59,1714,1715.33,1929169
2020-10-26,1619,1662.92,1600,1643,6601529
2020-10-27,1643,1644,1616.12,1625,4394440
2020-10-28,1626,1677,1625.08,1664.81,3463653
2020-10-29,1654.84,1708,1647,1676,3937376
2020-10-30,1678,1696,1665,1670.02,2605545
2020-11-02,1675,1695,1672,1674.01,2106643
2020-11-03,1684.99,1705.9,1675.5,1695,2349749
2020-11-04,1700,1704,1685,1699.58,1644371
2020-11-05,1717,1732.48,1712.1,1721.9,2352414
2020-11-06,1730.55,1731.59,1690,1700.62,2305153
2020-11-09,1701.38,1750.68,1700.62,1742.57,4146970
2020-11-10,1752.92,1764.48,1736,1745,3018944
2020-11-11,1745,1777.5,1731,1731.35,3485073
2020-11-12,1730.01,1750,1722.27,1734.79,2347309
2020-11-13,1724,1728.88,1691,1705,2815548
2020-11-16,1711,1730.05,1697.26,1730.05,3061349
2020-11-17,1740,1742.35,1701.07,1715.8,2522403
